invoiceStatus,hasInvoice,id,product id,product group,product name,type,priceQuantity,priceCurrency,priceVolume,quantity,volume,status,containerId,invoiceId,Invoice_Numnber,Container_Number,dateOfLoading,dateOfDelivery,taxRate,description,followUpStatus,elementId,containerOperationQualityId,value,name,country,logisticCostPerTon,endDate,harold_number
DRAFT,TRUE,2614,6,Papier,Mixed paper from department stores,SELL,55,EUR,T,23.28,T,PENDING,3101,200,IN23-WFR-0-000-020,CT2023-01-0002991,17/01/2023 08:22,17/01/2023 08:22,0.2,,DELIVERED,,3101,SAICA PAPER EL Centre de Comptabilité,Company A,France,,31/01/2023 23:59,S2023-01-0-000-378
DRAFT,TRUE,2612,6,Papier,Mixed paper from department stores,SELL,50,EUR,T,23.12,T,PENDING,3102,200,IN23-WFR-0-000-020,CT2023-01-0002992,17/01/2023 08:37,17/01/2023 08:37,0.2,,DELIVERED,,3102,SAICA PAPER EL Centre de Comptabilité,Company A,France,,31/01/2023 23:59,S2023-01-0-000-378
DRAFT,TRUE,2618,6,Papier,Mixed paper from department stores,SELL,55,EUR,T,24.89,T,PENDING,3098,200,IN23-WFR-0-000-020,CT2023-01-0002988,13/01/2023 07:55,13/01/2023 07:55,0.2,,DELIVERED,,3098,SAICA PAPER EL Centre de Comptabilité,Company A,France,,31/01/2023 23:59,S2023-01-0-000-378
DRAFT,TRUE,2608,6,Papier,Mixed paper from department stores,SELL,55,EUR,T,24.19,T,PENDING,3100,200,IN23-WFR-0-000-020,CT2023-01-0002990,16/01/2023 11:10,16/01/2023 11:10,0.2,,DELIVERED,,3100,SAICA PAPER EL Centre de Comptabilité,Company A,France,,31/01/2023 23:59,S2023-01-0-000-378
DRAFT,TRUE,2616,6,Papier,Mixed paper from department stores,SELL,55,EUR,T,23.65,T,PENDING,3099,200,IN23-WFR-0-000-020,CT2023-01-0002989,16/01/2023 08:05,16/01/2023 08:05,0.2,,DELIVERED,,3099,SAICA PAPER EL Centre de Comptabilité,Company A,France,,31/01/2023 23:59,S2023-01-0-000-378
DRAFT,TRUE,2622,6,Papier,Mixed paper from department stores,SELL,50,EUR,T,23.8,T,PENDING,3128,200,IN23-WFR-0-000-020,CT2023-01-0003018,16/01/2023 13:48,16/01/2023 13:48,0.2,,DELIVERED,,3130,SAICA PAPER EL Centre de Comptabilité,Company A,France,,31/01/2023 23:59,S2023-01-0-000-378
DRAFT,TRUE,2610,1,Papier,Mixed paper,SELL,40,EUR,T,21.13,T,PENDING,2839,200,IN23-WFR-0-000-020,CT2023-01-0002729,30/01/2023 13:25,30/01/2023 13:25,0.2,,DELIVERED,,2839,SAICA PAPER EL Centre de Comptabilité,Company A,France,,31/01/2023 23:59,S2023-01-0-000-375
DRAFT,TRUE,2624,6,Papier,Mixed paper from department stores,SELL,45,EUR,T,23.73,T,PENDING,2867,200,IN23-WFR-0-000-020,CT2023-01-0002757,04/01/2023 13:39,04/01/2023 13:39,0.2,,DELIVERED,,2870,SAICA PAPER EL Centre de Comptabilité,Company A,France,,31/01/2023 23:59,S2023-01-0-000-378
DRAFT,TRUE,2632,6,Papier,Mixed paper from department stores,SELL,55,EUR,T,24.13,T,PENDING,2860,200,IN23-WFR-0-000-020,CT2023-01-0002750,03/01/2023 14:15,04/01/2023 14:15,0.2,,DELIVERED,,2861,SAICA PAPER EL Centre de Comptabilité,Company A,France,,31/01/2023 23:59,S2023-01-0-000-378
DRAFT,TRUE,2626,6,Papier,Mixed paper from department stores,SELL,55,EUR,T,23.45,T,PENDING,2868,200,IN23-WFR-0-000-020,CT2023-01-0002758,04/01/2023 13:44,04/01/2023 13:44,0.2,,DELIVERED,,2868,SAICA PAPER EL Centre de Comptabilité,Company A,France,,31/01/2023 23:59,S2023-01-0-000-378
